author,n_chunks,n_articles,bal_acc_pooled,ci_lo,ci_hi,boot_sd,fold_sd,drift_score,base_ppl,early_test|early_ALM,early_test|late_ALM,late_test|early_ALM,late_test|late_ALM
ahad_haam,820,95,0.715852845992766,0.6487280595952011,0.7798520246306886,0.03334782522753932,0.1033871637251193,0.05019799154225216,96.14011739095052,71.81158672721641,75.50400839152846,72.7790016193016,69.38087913569282
alterman,682,172,0.6956013764524402,0.6162940384351396,0.7786725990433935,0.04261419248979834,0.08528620574928715,0.05870713799778479,98.30634053548177,114.69226772352535,121.45480009395644,83.15831417507596,78.56598561424454
